       TaskID   GiftID	GiftType   TaskType   RequestTime   TaskArrival    TT    Responsible
--------------------------------------------------------------------------------------------
          1          1          3          A          0          0          2       ElfB
          2          2          1          C          1          1          1       ElfA
          3          3          4          Q          2          2          1      Santa
          4          3          4          P          2          2          3       ElfA
          5          1          3          C          2          0          1       ElfB
          6          2          1          D          2          1          2      Santa
          7          4          1          C          3          3          1       ElfB
          8          1          3          D          3          0          2      Santa
          9          3          4          C          5          2          1       ElfA
         10          6          3          A          5          5          2       ElfB
         11          4          1          D          4          3          2      Santa
         12          5          4          P          4          4          5       ElfA
         13          3          4          D          6          2          1      Santa
         14          6          3          C          7          5          1       ElfB
         15          5          4          Q          4          4          4      Santa
         16          9          1          C          8          8          1       ElfB
         17          6          3          D          8          5          1      Santa
         18          5          4          C          8          4          2       ElfA
         19         10          1          C          9          9          1       ElfB
         20          9          1          D          9          8          1      Santa
         21          8          2          P          7          7          6       ElfA
         22         11          1          C         10         10          1       ElfB
         23          5          4          D         10          4          1      Santa
         24          7          3          A          6          6          7       ElfB
         25         10          1          D         10          9          2      Santa
         26         11          1          D         11         10          2      Santa
         27         13          1          C         12         12          2       ElfA
         28          8          2          C         13          7          1       ElfB
         29         13          1          D         14         12          1      Santa
         30          7          3          C         13          6          2       ElfA
         31         15          1          C         14         14          1       ElfB
         32         12          2          P         11         11          7       ElfA
         33          8          2          D         14          7          2      Santa
         34         16          1          C         15         15          1       ElfB
         35          7          3          D         15          6          2      Santa
         36         17          1          C         16         16          1       ElfB
         37         15          1          D         15         14          3      Santa
         38         12          2          C         18         11          1       ElfA
         39         16          1          D         16         15          3      Santa
         40         14          2          P         13         13          9       ElfA
         41         20          1          C         19         19          1       ElfB
         42         17          1          D         17         16          3      Santa
         43         21          1          C         20         20          1       ElfB
         44         12          2          D         19         11          2      Santa
         45         22          1          C         21         21          1       ElfB
         46         20          1          D         20         19          2      Santa
         47         14          2          C         22         13          1       ElfA
         48         23          3          A         22         22          2       ElfB
         49         21          1          D         21         20          2      Santa
         50         18          4          P         17         17          9       ElfA
         51         22          1          D         22         21          2      Santa
         52         24          1          C         23         23          2       ElfB
         53         14          2          D         23         13          2      Santa
         54         23          3          C         24         22          2       ElfB
         55         24          1          D         25         23          1      Santa
         56         25          1          C         24         24          3       ElfA
         57         26          1          C         25         25          2       ElfB
         58         23          3          D         26         22          1      Santa
         59         19          2          P         18         18         12       ElfA
         60         28          1          C         27         27          1       ElfB
         61         25          1          D         27         24          1      Santa
         62         29          1          C         28         28          1       ElfB
         63         26          1          D         27         25          2      Santa
         64         30          1          C         29         29          1       ElfB
         65         28          1          D         28         27          2      Santa
         66         19          2          C         30         18          1       ElfA
         67         31          3          A         30         30          2       ElfB
         68         29          1          D         29         28          2      Santa
         69         32          1          C         31         31          1       ElfA
         70         30          1          D         30         29          2      Santa
         71         33          1          C         32         32          1       ElfB
         72         31          3          C         32         30          1       ElfA
         73         19          2          D         31         18          2      Santa
         74         34          1          C         33         33          1       ElfB
         75         27          2          P         26         26         10       ElfA
         76         32          1          D         32         31          2      Santa
         77         35          1          C         34         34          1       ElfB
         78         33          1          D         33         32          2      Santa
         79         36          1          C         35         35          1       ElfB
         80         31          3          D         33         30          3      Santa
         81         37          1          C         36         36          1       ElfA
         82         27          2          C         36         26          1       ElfB
         83         34          1          D         34         33          3      Santa
         84         38          3          A         37         37          2       ElfB
         85         35          1          D         35         34          3      Santa
         86         39          1          C         38         38          1       ElfA
         87         36          1          D         36         35          3      Santa
         88         40          2          P         39         39          3       ElfA
         89         38          3          C         39         37          1       ElfB
         90         37          1          D         37         36          3      Santa
         91         41          1          C         40         40          1       ElfB
         92         27          2          D         37         26          4      Santa
         93         39          1          D         39         38          3      Santa
         94         40          2          C         42         39          1       ElfB
         95         42          2          P         41         41          4       ElfA
         96         38          3          D         40         37          3      Santa
         97         43          1          C         42         42          2       ElfB
         98         41          1          D         41         40          3      Santa
         99         44          1          C         43         43          2       ElfB
        100         40          2          D         43         39          2      Santa
        101         42          2          C         45         41          1       ElfA
        102         46          1          C         45         45          1       ElfB
        103         43          1          D         44         42          2      Santa
        104         45          3          A         44         44          4       ElfB
        105         44          1          D         45         43          2      Santa
        106         48          4          P         47         47          3       ElfA
        107         42          2          D         46         41          2      Santa
        108         49          1          C         48         48          1       ElfB
        109         46          1          D         46         45          3      Santa
        110         45          3          C         48         44          2       ElfB
        111         49          1          D         49         48          1      Santa
        112         50          1          C         49         49          2       ElfA
        113         47          3          A         46         46          6       ElfB
        114         18          4          Q         17         17         34      Santa
        115         52          1          C         51         51          1       ElfA
        116         45          3          D         50         44          2      Santa
        117         18          4          C         51         17          2       ElfB
        118         53          1          C         52         52          1       ElfA
        119         50          1          D         51         49          2      Santa
        120         47          3          C         52         46          2       ElfB
        121         54          1          C         53         53          1       ElfA
        122         52          1          D         52         51          2      Santa
        123         55          1          C         54         54          1       ElfB
        124         51          4          P         50         50          7       ElfA
        125         18          4          D         53         17          2      Santa
        126         56          3          A         55         55          2       ElfB
        127         53          1          D         53         52          3      Santa
        128         47          3          D         54         46          3      Santa
        129         57          2          P         56         56          4       ElfA
        130         56          3          C         57         55          1       ElfB
        131         54          1          D         54         53          4      Santa
        132         59          1          C         58         58          1       ElfB
        133         55          1          D         55         54          4      Santa
        134         60          1          C         59         59          1       ElfB
        135         56          3          D         58         55          2      Santa
        136         57          2          C         60         56          1       ElfA
        137         61          1          C         60         60          1       ElfB
        138         59          1          D         59         58          2      Santa
        139         58          2          P         57         57          7       ElfA
        140         60          1          D         60         59          2      Santa
        141         63          3          A         62         62          2       ElfB
        142         57          2          D         61         56          2      Santa
        143         61          1          D         61         60          3      Santa
        144         64          1          C         63         63          2       ElfB
        145         63          3          C         64         62          1       ElfA
        146         48          4          Q         47         47         18      Santa
        147         58          2          C         64         57          2       ElfB
        148         62          2          P         61         61          7       ElfA
        149         51          4          Q         50         50         16      Santa
        150         48          4          C         65         47          2       ElfB
        151         64          1          D         65         63          2      Santa
        152         67          1          C         66         66          2       ElfB
        153         63          3          D         65         62          3      Santa
        154         51          4          C         66         50          3       ElfA
        155         68          1          C         67         67          2       ElfB
        156         58          2          D         66         57          3      Santa
        157         62          2          C         68         61          2       ElfA
        158         69          1          C         68         68          2       ElfB
        159         48          4          D         67         47          3      Santa
        160         70          1          C         69         69          2       ElfA
        161         71          1          C         70         70          1       ElfB
        162         67          1          D         68         66          3      Santa
        163         72          1          C         71         71          1       ElfA
        164         51          4          D         69         50          3      Santa
        165         73          3          A         72         72          2       ElfB
        166         65          4          P         64         64         11       ElfA
        167         68          1          D         69         67          4      Santa
        168         62          2          D         70         61          4      Santa
        169         73          3          C         74         72          1       ElfB
        170         69          1          D         70         68          5      Santa
        171         75          3          A         74         74          3       ElfB
        172         76          1          C         75         75          1       ElfA
        173         70          1          D         71         69          5      Santa
        174         66          4          P         65         65         14       ElfA
        175         71          1          D         71         70          6      Santa
        176         75          3          C         77         74          1       ElfB
        177         72          1          D         72         71          6      Santa
        178         77          3          A         76         76          4       ElfB
        179         73          3          D         75         72          4      Santa
        180         79          1          C         78         78          2       ElfA
